product_id,product_name,category,user_id,content,rating,comment_time
JD005,索尼电视65寸,电视,user_5722,用了几天感觉非常好，性能稳定，值得信赖。,5,2023-12-19 00:00:00
JD002,小米13 Ultra,手机,user_5294,收到货就试用了，效果非常好，客服态度也很棒。,4,2023-03-04 00:00:00
JD003,iPhone 15 Pro,手机,user_6645,客服态度很差，问题迟迟得不到解决。,1,2023-12-23 00:00:00
JD005,索尼电视65寸,电视,user_2120,收到货就试用了，效果非常好，客服态度也很棒。,5,2023-04-22 00:00:00
JD005,索尼电视65寸,电视,user_6150,五星好评！这款产品真的太棒了，完全符合预期。,4,2023-06-15 00:00:00
JD005,索尼电视65寸,电视,user_9929,物流太慢了，等了好久才收到货。,2,2023-11-17 00:00:00
JD002,小米13 Ultra,手机,user_9379,做工粗糙，细节处理很差，影响使用体验。,1,2023-04-09 00:00:00
JD005,索尼电视65寸,电视,user_1021,用了几天就坏了，质量堪忧，不推荐购买。,1,2023-04-25 00:00:00
JD004,小米电视75寸,电视,user_1686,收到货发现有问题，退货过程很麻烦。,2,2023-10-29 00:00:00
JD004,小米电视75寸,电视,user_2789,用了几天就坏了，质量堪忧，不推荐购买。,2,2023-01-29 00:00:00
JD001,华为Mate50 Pro,手机,user_7780,性价比很高，用了一段时间感觉很不错，值得购买。,5,2023-01-12 00:00:00
JD007,MacBook Pro,电脑,user_8376,性价比很高，用了一段时间感觉很不错，值得购买。,4,2023-10-05 00:00:00
JD010,戴森V15吸尘器,家电,user_2830,物流太慢了，等了好久才收到货。,2,2023-07-23 00:00:00
JD003,iPhone 15 Pro,手机,user_8244,非常满意！质量很好，超出预期，强烈推荐！,4,2023-10-12 00:00:00
JD004,小米电视75寸,电视,user_9913,非常满意这次购物体验，产品质量和服务都很好。,4,2023-10-28 00:00:00
JD001,华为Mate50 Pro,手机,user_6773,家人都很喜欢，物超所值，下次还会购买。,4,2023-01-16 00:00:00
JD002,小米13 Ultra,手机,user_4892,购买后后悔了，完全不是想象中的样子。,1,2023-07-21 00:00:00
JD007,MacBook Pro,电脑,user_9112,五星好评！这款产品真的太棒了，完全符合预期。,5,2023-05-12 00:00:00
JD001,华为Mate50 Pro,手机,user_3942,非常失望，质量太差了，和描述完全不符。,2,2023-01-25 00:00:00
JD008,AirPods Pro,耳机,user_2153,售后服务太差了，根本没人理。,1,2023-05-24 00:00:00
JD005,索尼电视65寸,电视,user_6530,性价比很高，用了一段时间感觉很不错，值得购买。,4,2023-08-29 00:00:00
JD009,索尼WH-1000XM5,耳机,user_9005,非常满意！质量很好，超出预期，强烈推荐！,4,2023-10-30 00:00:00
JD008,AirPods Pro,耳机,user_7456,用了几天就坏了，质量堪忧，不推荐购买。,2,2023-02-23 00:00:00
JD001,华为Mate50 Pro,手机,user_9043,物流速度正常，产品质量普通。,3,2023-10-08 00:00:00
